Gebühr,Höhe
3D-Druck FDM als Dienstleistung (WOHLÜBERLEGT!),
3D-Druck SLA als Dienstleistung (WOHLÜBERLEGT!),
3D-Druck SLS als Dienstleistung (WOHLÜBERLEGT!),
Laserbearbeitung als Dienstleistung (WOHLÜBERLEGT!),
Laserbearbeitung Metalle als Dienstleistung (WOHLÜBERLEGT!),
Nutzung Gerät X pro Zeiteinheit Y (do-it-yourself),
Nutzung FDM-3D-Drucker pro Zeiteinheit Y (do-it-yourself),
Nutzung SLA-3D-Drucker pro Zeiteinheit Y (do-it-yourself),
Nutzung Laser pro Zeiteinheit Y (do-it-yourself),
Nutzung und Unterweisung von nicht explizit in dieser Tabelle aufgeführten Geräten und Maschinen im Rahmen des *Open Makerspace* (do-it-yourself),kostenfrei für Mitglieder (exkl. Material)
Unter- und Einweisung besonders aufwändiger Bereiche als Voraussetzung zur Nutzung do-it-yourself, Fixkosten pro Lehr-Einheit?
Führung durch den Makerspace im Rahmen des Open Makerspace (je nach Verfügbarkeit von Personal und mit variabler Dauer),kostenfrei
Besuch als Gast zum Reinschnuppern / Menschen kennenlernen und für Co-Working o.Ä. im Rahmen des Open Makerspace,kostenfrei
